rbve_id,report_namePKO,hostilityGov_None,hostilityGov_VerbalRestrictions,hostilityGov_PhysicalRestrictions,hostilityGov_ViolentRestrictions,hostilityOther_None,hostilityOther_VerbalRestrictions,hostilityOther_PhysicalRestrictions,hostilityOther_ViolentRestrictions,abuseAllegations,abuseInvestigation,sexualViolenceAllegation,sexualViolenceInvestigation,DDRprogress
409,UNOMIG_S/2001/713,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NO_INFO
408,UNMIK_S/2014/305,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
407,UNMIK_S/2014/68,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
406,UNMIK_S/2013/631,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
405,UNMIK_S/2013/444,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
404,UNMIK_S/2013/254,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
403,UNMIK_S/2013/72,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
402,UNMIK_S/2012/818,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
401,UNMIK_S/2012/603,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
400,UNMIK_S/2012/275,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
399,UNMIK_S/2012/72,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,COMPLETED
398,UNMIK_S/2011/675,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
397,UNMIK_S/2011/514,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED
396,UNOMIG_S/2001/401,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NO_INFO
395,UNMIK_S/2011/43,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,COMPLETED
394,UNMIK_S/2010/562,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,COMPLETED
